NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
,283,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,NO_CHK,Y
,284,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,NO_CHK,Y
,285,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,286,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,NO_CHK,Y
,287,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,NO_CHK,Y
,288,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,289,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,Y
,290,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,140,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,Y
,291,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,292,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,293,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,294,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,295,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,296,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,297,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,N,DISARM_PIN_FAIL,NO_SOUND,ALARM,NO_CHK,Y
,298,DWS,AWAY_ARM,OPEN,60,SOUND,ALARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,ALARM,NO_CHK,Y
,299,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,300,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,301,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,302,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,303,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,304,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,305,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM_PIN_FAIL,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,306,DWS,AWAY_ARM,OPEN,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,NOTHING,NOTHING,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,307,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,NO_CHK,Y
,308,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,NO_CHK,Y
,309,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,310,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,NO_CHK,Y
,311,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,NO_CHK,Y
,312,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,313,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,Y
,314,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,140,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,Y
,315,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,316,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,317,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,318,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,319,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,ALARM,NO_CHK,Y
,320,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,321,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,N,DISARM_PIN_FAIL,NO_SOUND,ALARM,NO_CHK,Y
,322,DWS,AWAY_ARM,OPEN_CLOSE,60,SOUND,ALARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,ALARM,NO_CHK,Y
,323,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,324,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,325,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,326,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,327,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,328,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,329,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM_PIN_FAIL,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,330,DWS,AWAY_ARM,OPEN_CLOSE,5,NO_SOUND,ENTER_DELAY,NO_CHK,5,NOTHING,NOTHING,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,339,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,340,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,341,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,342,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,343,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,344,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,345,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM_PIN_FAIL,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,346,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,NOTHING,NOTHING,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,347,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,348,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,349,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,350,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,351,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
