NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,1,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,2,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,3,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,4,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,5,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
N,6,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
N,7,DWS,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,8,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,9,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,10,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,11,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,12,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
N,13,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
N,14,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,15,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,16,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,17,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,18,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,19,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
N,20,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
N,21,DWS,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,22,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,23,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,24,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
,25,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,26,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,27,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
,28,DWS,DISARM,OPEN_CLOSE,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,29,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,30,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,31,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
,32,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,33,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,34,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
,35,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,36,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,37,DWS,DISARM,OPEN_CLOSE,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
