NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
,339,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,340,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,341,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,342,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,343,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,344,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,345,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM_PIN_FAIL,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,346,DWS,ENTER_DELAY,OPEN,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,NOTHING,NOTHING,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,347,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,348,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,349,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,Y,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,350,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,AWAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,351,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,STAY_ARM,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,352,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM,NO_SOUND,DISARM,NO_CHK,Y
,353,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,N,DISARM_PIN_FAIL,NO_SOUND,ENTER_DELAY,NO_CHK,Y
,354,DWS,ENTER_DELAY,OPEN_CLOSE,10,NO_SOUND,ENTER_DELAY,NO_CHK,5,NOTHING,NOTHING,NO_SOUND,ENTER_DELAY,NO_CHK,Y
N,355,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,20006,N
N,356,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,20008,N
N,357,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20002,N
N,358,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,20006,N
N,359,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,20008,N
N,360,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20002,N
N,361,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
N,362,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,140,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
N,363,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,ALARM,20006,N
N,364,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,ALARM,20008,N
N,365,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20002,N
N,366,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,ALARM,20006,N
N,367,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,ALARM,20008,N
N,368,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20002,N
N,369,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,N,DISARM_PIN_FAIL,NO_SOUND,ALARM,NO_CHK,N
N,370,DWS,STAY_ARM,TAMPER,60,SOUND,ALARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,ALARM,NO_CHK,N
N,371,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,Y,AWAY_ARM,SOUND,ALARM,20006,N
N,372,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,Y,STAY_ARM,SOUND,ALARM,20008,N
N,373,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
N,374,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,N,AWAY_ARM,SOUND,ALARM,20006,N
N,375,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,N,STAY_ARM,SOUND,ALARM,20008,N
N,376,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
N,377,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
N,378,DWS,STAY_ARM,TAMPER,10,SOUND,ALARM,NO_CHK,10,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
N,379,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,20006,N
N,380,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,20008,N
N,381,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20002,N
N,382,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,20006,N
N,383,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,20008,N
N,384,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20002,N
N,385,DWS,STAY_ARM,OFFLINE,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
