NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,1,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,2,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,3,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
N,4,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,5,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,6,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
N,7,PIR,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,8,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,9,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,10,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
N,11,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,12,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,13,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
N,14,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,15,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,16,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,17,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
N,18,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,19,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,20,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
N,21,PIR,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,22,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,23,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,24,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
N,25,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,26,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,27,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
N,28,PIR,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,29,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,30,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,31,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
N,32,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,33,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,34,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
N,35,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,36,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,37,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,38,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
N,39,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,40,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,41,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
N,42,PIR,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,43,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,44,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,45,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
,46,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,47,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,48,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
,49,PIR,DISARM,ON_OFF,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,50,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,51,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,52,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
,53,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,54,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,55,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
,56,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,57,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,58,PIR,DISARM,ON_OFF,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
