NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,1,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,2,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,3,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
N,4,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,5,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,6,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
N,7,WTD,DISARM,OFFLINE,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,8,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,9,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,10,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
N,11,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,12,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,13,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
N,14,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,15,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,16,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,17,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
N,18,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,19,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,20,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
N,21,WTD,DISARM,OFFLINE,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,22,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,23,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,24,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
N,25,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,26,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,27,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
N,28,WTD,DISARM,LOW_BATTERY,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,29,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,30,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,31,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
N,32,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,33,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,34,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
N,35,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
N,36,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,37,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,38,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
N,39,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
N,40,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
N,41,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
N,42,WTD,DISARM,LOW_BATTERY,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,43,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,44,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,45,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20007,N
,46,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,47,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,48,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
,49,WTD,DISARM,WATER_ON_10S,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,50,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,51,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,52,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
,53,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,54,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,55,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
,56,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,57,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,58,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,59,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
,60,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,61,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,62,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
,63,WTD,DISARM,WATER_ON_10S,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,64,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,N,AWAY_ARM,SOUND,ALARM,20006,N
,65,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,N,STAY_ARM,SOUND,ALARM,20008,N
,66,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
,67,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
,68,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,Y,AWAY_ARM,SOUND,ALARM,20006,N
,69,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,Y,STAY_ARM,SOUND,ALARM,20008,N
,70,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
,71,WTD,DISARM,WATER_ON_OVER_30S,10,SOUND,ALARM,NO_CHK,10,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
,72,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,20006,N
,73,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,20008,N
,74,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20002,N
,75,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
,76,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,20006,N
,77,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,20008,N
,78,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20002,N
,79,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,140,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
,80,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,ALARM,20006,N
,81,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,ALARM,20008,N
,82,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20002,N
,83,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,N,DISARM_PIN_FAIL,NO_SOUND,ALARM,NO_CHK,N
,84,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,ALARM,20006,N
,85,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,ALARM,20008,N
,86,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20002,N
,87,WTD,DISARM,WATER_ON_OVER_30S,60,SOUND,ALARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,ALARM,NO_CHK,N
N,88,WTD,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,89,WTD,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
