id,result,clip_file
1,ignores,ignores
2,ignores,ignores
3,ignores,ignores
4,ignores,ignores
5,ignores,ignores
6,ignores,ignores
7,ignores,ignores
8,ignores,ignores
9,ignores,ignores
10,ignores,ignores
11,ignores,ignores
12,ignores,ignores
13,ignores,ignores
14,ignores,ignores
15,ignores,ignores
16,ignores,ignores
17,ignores,ignores
18,ignores,ignores
19,ignores,ignores
20,ignores,ignores
21,ignores,ignores
22,PASS,## Does not check of clip file.
23,PASS,## Does not check of clip file.
24,PASS,## Does not check of clip file.
25,PASS,## Does not check of clip file.
26,PASS,## Does not check of clip file.
27,PASS,## Does not check of clip file.
28,PASS,## Does not check of clip file.
29,PASS,## Does not check of clip file.
30,PASS,## Does not check of clip file.
31,PASS,## Does not check of clip file.
32,PASS,## Does not check of clip file.
33,PASS,## Does not check of clip file.
34,PASS,## Does not check of clip file.
35,PASS,## Does not check of clip file.
36,PASS,## Does not check of clip file.
37,PASS,## Does not check of clip file.
38,PASS,## Does not check of clip file.
39,PASS,## Does not check of clip file.
40,PASS,## Does not check of clip file.
41,PASS,## Does not check of clip file.
42,PASS,## Does not check of clip file.
43,FAIL,## Does not check of clip file.
44,FAIL,## Does not check of clip file.
45,PASS,## Does not check of clip file.
46,FAIL,## Does not check of clip file.
47,FAIL,## Does not check of clip file.
48,PASS,## Does not check of clip file.
49,PASS,## Does not check of clip file.
50,FAIL,## Does not check of clip file.
51,FAIL,## Does not check of clip file.
52,PASS,## Does not check of clip file.
53,FAIL,## Does not check of clip file.
54,FAIL,## Does not check of clip file.
55,PASS,## Does not check of clip file.
56,PASS,## Does not check of clip file.
57,FAIL,## Does not check of clip file.
58,FAIL,## Does not check of clip file.
59,PASS,## Does not check of clip file.
60,FAIL,## Does not check of clip file.
61,FAIL,## Does not check of clip file.
62,PASS,## Does not check of clip file.
63,PASS,## Does not check of clip file.
64,ignores,ignores
65,ignores,ignores
66,ignores,ignores
67,ignores,ignores
68,ignores,ignores
69,ignores,ignores
70,ignores,ignores
71,ignores,ignores
72,ignores,ignores
73,ignores,ignores
74,ignores,ignores
75,ignores,ignores
76,ignores,ignores
77,ignores,ignores
78,ignores,ignores
79,ignores,ignores
80,ignores,ignores
81,ignores,ignores
82,ignores,ignores
83,ignores,ignores
84,ignores,ignores
85,ignores,ignores
86,ignores,ignores
87,ignores,ignores
88,ignores,ignores
89,ignores,ignores
90,ignores,ignores
91,ignores,ignores
92,ignores,ignores
93,ignores,ignores
94,ignores,ignores
95,ignores,ignores
96,ignores,ignores
97,ignores,ignores
98,ignores,ignores
99,ignores,ignores
100,ignores,ignores
101,ignores,ignores
102,ignores,ignores
103,ignores,ignores
104,ignores,ignores
105,ignores,ignores
106,ignores,ignores
107,ignores,ignores
108,ignores,ignores
